Date,Event
1/26/2020,First Covid Case
2/6/2020,First Covid Death
3/16/2020,Public Schools Close
3/19/2020,Statewide Stay at Home Order 
5/20/2020,Phase I Reopening
5/22/2020,Phase II Reopening
6/12/2020,Phase III Reopening
6/18/2020,Statewide Mask Order 
7/13/2020,Bars Close Again
9/17/2020,Public Schools Open
12/3/2020,Regional Stay at Home Order 
