Date,Event 
3/1/2020,First Covid Case
3/5/2020,First Covid Death
3/17/2020,Public Schools Close
4/1/2020,Statewide Stay at Home Order
4/30/2020,Statewide Stay at Home Order Ends
5/4/2020,Phase I Reopening
6/5/2020,Phase II Reopening
7/1/2020,Bars Close Again
8/10/2020,Public Schools Open
9/25/2020,Phase III Reopening
