week_ending,sum_residents_weekly_admissions,sum_residents_total_admissions,sum_residents_weekly_confirmed,sum_residents_total_confirmed,sum_residents_weekly_suspected,sum_residents_total_suspected,sum_residents_weekly_all_deaths,sum_residents_total_all_deaths,sum_residents_weekly_covid_19,sum_residents_total_covid_19,sum_number_of_all_beds,sum_total_number_of_occupied,sum_staff_weekly_confirmed_covid,sum_staff_total_confirmed_covid,sum_staff_weekly_suspected_covid,sum_staff_total_suspected_covid,sum_staff_weekly_covid_19_deaths,sum_staff_total_covid_19_deaths
2020-05-24T00:00:00.000,1109,1109,3134,3134,2027,2027,1738,1738,769,769,36465,27851,2063,2063,1029,1029,11,11
2020-05-31T00:00:00.000,396,1505,519,3653,393,2420,392,2130,213,982,37352,28411,400,2463,226,1255,8,19
2020-06-07T00:00:00.000,355,1860,529,4182,766,3186,365,2495,195,1177,37778,29046,397,2860,142,1397,4,23
2020-06-14T00:00:00.000,434,2294,438,4620,722,3908,286,2781,130,1307,37975,28703,351,3211,176,1573,4,27
2020-06-21T00:00:00.000,286,2580,453,5073,654,4562,261,3042,126,1433,37985,28652,358,3569,231,1804,4,31
2020-06-28T00:00:00.000,291,2871,525,5598,804,5366,192,3234,85,1518,38047,28485,353,3922,159,1963,2,33
2020-07-05T00:00:00.000,287,3158,462,6060,623,5989,140,3374,61,1579,37951,28307,369,4291,152,2115,3,36
2020-07-12T00:00:00.000,305,3463,329,6389,445,6434,191,3565,79,1658,38047,28103,347,4638,197,2312,2,38
2020-07-19T00:00:00.000,303,3766,382,6771,673,7107,176,3741,66,1724,38047,28096,444,5082,236,2548,0,38
2020-07-26T00:00:00.000,347,4113,418,7189,322,7429,138,3879,57,1781,38047,28100,390,5472,115,2663,4,42
2020-08-02T00:00:00.000,328,4441,484,7673,321,7750,165,4044,71,1852,37999,28186,402,5874,118,2781,0,42
2020-08-09T00:00:00.000,268,4709,354,8027,383,8133,131,4175,57,1909,37999,28067,275,6149,90,2871,4,46
2020-08-16T00:00:00.000,313,5022,339,8366,803,8936,171,4346,72,1981,38047,28106,231,6380,93,2964,0,46
2020-08-23T00:00:00.000,271,5293,257,8623,261,9197,166,4512,52,2033,38047,28057,239,6619,62,3026,1,47
2020-08-30T00:00:00.000,250,5543,258,8881,275,9472,166,4678,51,2084,37951,28099,193,6812,78,3104,1,48
2020-09-06T00:00:00.000,205,5748,131,9012,174,9646,148,4826,43,2127,37951,28130,139,6951,42,3146,0,48
2020-09-13T00:00:00.000,170,5918,125,9137,154,9800,127,4953,27,2154,38047,28066,97,7048,39,3185,1,49
2020-09-20T00:00:00.000,169,6087,80,9217,189,9989,96,5049,22,2176,38047,28220,120,7168,32,3217,1,50
2020-09-27T00:00:00.000,142,6229,94,9311,184,10173,102,5151,28,2204,38029,28313,121,7289,34,3251,1,51
2020-10-04T00:00:00.000,169,6398,86,9397,207,10380,89,5240,14,2218,38031,28466,108,7397,43,3294,2,53
