week_ending,sum_residents_weekly_admissions,sum_residents_total_admissions,sum_residents_weekly_confirmed,sum_residents_total_confirmed,sum_residents_weekly_suspected,sum_residents_total_suspected,sum_residents_weekly_all_deaths,sum_residents_total_all_deaths,sum_residents_weekly_covid_19,sum_residents_total_covid_19,sum_number_of_all_beds,sum_total_number_of_occupied,sum_staff_weekly_confirmed_covid,sum_staff_total_confirmed_covid,sum_staff_weekly_suspected_covid,sum_staff_total_suspected_covid,sum_staff_weekly_covid_19_deaths,sum_staff_total_covid_19_deaths
2020-05-24T00:00:00.000,27313,27313,90146,90146,51593,51593,71994,71994,25341,25341,1532628,1118627,49331,49331,42416,42416,293,293
2020-05-31T00:00:00.000,5767,33080,11000,101144,8286,59879,10227,82221,3507,28848,1574322,1139899,9768,59099,7586,50002,59,352
2020-06-07T00:00:00.000,5425,38505,9356,110500,7052,66931,9432,91653,2743,31591,1590351,1158535,8003,67102,6976,56978,51,403
2020-06-14T00:00:00.000,4996,43501,6939,117439,6058,72989,8659,100312,2048,33639,1593698,1154833,5962,73064,5790,62768,35,438
2020-06-21T00:00:00.000,4298,47799,6374,123813,5729,78718,8145,108457,1702,35341,1595425,1159312,6091,79155,5322,68090,33,471
2020-06-28T00:00:00.000,4251,52050,6888,130701,6567,85281,7715,116167,1444,36781,1596763,1158719,6984,86135,6023,74112,27,498
2020-07-05T00:00:00.000,4112,56162,7385,138086,6582,91860,7867,124031,1426,38207,1598387,1159705,8114,94248,6056,80164,32,530
2020-07-12T00:00:00.000,3999,60158,9317,147396,7646,99505,7967,131996,1560,39765,1607620,1156092,10517,104757,7968,88131,28,558
2020-07-19T00:00:00.000,4533,64691,10653,158046,7748,107253,8169,140164,1777,41542,1607719,1154609,11865,116604,7948,96078,24,582
2020-07-26T00:00:00.000,4929,69620,12043,170089,6849,114102,8201,148365,2034,43576,1608161,1152549,11923,128527,7338,103416,51,633
2020-08-02T00:00:00.000,4976,74563,11326,181372,5886,119986,7965,156300,2076,45630,1607539,1152646,10322,138815,5946,109360,39,672
2020-08-09T00:00:00.000,4807,79369,10974,192346,5740,125723,7997,164292,2048,47678,1606868,1147393,9199,148014,5815,115174,37,709
2020-08-16T00:00:00.000,4772,84141,9643,201989,6317,132039,8536,172824,1883,49557,1606795,1147207,8550,156564,5209,120383,44,753
2020-08-23T00:00:00.000,4275,88413,8748,210708,4923,136930,8035,180851,1733,51283,1606812,1146014,7592,164140,4764,125138,27,780
2020-08-30T00:00:00.000,4074,92487,8270,218969,4241,141163,8088,188925,1541,52823,1606868,1145134,6972,171090,4254,129378,38,818
2020-09-06T00:00:00.000,3568,95998,7666,226626,3841,144957,7736,196647,1389,54201,1598359,1144813,7197,178283,4188,133523,27,845
2020-09-13T00:00:00.000,3108,99106,6929,233555,3298,148255,7510,204157,1237,55438,1599891,1142289,7049,185332,4024,137547,21,866
