Date,normalized_one1,normalized_one2,normalized_one3,normalized_one4,normalized_two1,normalized_two2,normalized_two3,normalized_two4,LTC_normalized_vf_us_cases1,LTC_normalized_vf_us_cases2,LTC_normalized_vf_us_deaths1,LTC_normalized_vf_us_deaths2,normalized_one_dose_one1,normalized_one_dose_one2,normalized_one_dose_one3,normalized_one_dose_one4,normalized_one_dose_two1,normalized_one_dose_two2,normalized_one_dose_two3,normalized_one_dose_two4,LTC_normalized_vf_one_dose_us_cases1,LTC_normalized_vf_one_dose_us_cases2,LTC_normalized_vf_one_dose_us_deaths1,LTC_normalized_vf_one_dose_us_deaths2,one_minus_vf_LTC,one_minus_vf_US,vf_LTC,vf_US,one_minus_vf_one_dose_LTC,one_minus_vf_one_dose_US,vf_one_dose_LTC,vf_one_dose_US,New Cases,New Deaths,sum_residents_weekly_confirmed,sum_residents_weekly_covid_19
12/13/2020,3902.85714285714,3902.85714285714,183088.782182163,1573.0067201157,0,0,42856204773.8192,368198954.105226,0.0286739693666913,0.0286739693666913,0.000578355386612713,0.000578355386612713,3903.03590190145,3903.03590190145,183094.013473388,1573.05166473848,85215221.4597629,85215221.4597629,5574534811.65975,47893599.0274665,0.0286752826946388,0.0286739693666913,0.000578381876502657,0.000578355386612713,1,0.999995727853155,0,4.27214684469326e-06,0.9999542,0.999967156362605,4.58e-05,3.28436373950077e-05,183088,1573,3902.85714285714,3902.85714285714
12/14/2020,3902.85714285714,3902.85714285714,199734.860527982,1847.00795755947,0,0,46359727374.8277,428702256.307423,0.0265070045153972,0.0265070045153972,0.000492557114349963,0.000492557114349963,3903.03590190145,3903.03590190145,199742.723132265,1847.08066541147,85215221.4597629,85215221.4597629,4573519218.73948,42292699.275095,0.0265082185918087,0.0265070045153972,0.000492579674499055,0.000492557114349963,1,0.999995691648521,0,4.30835147897032e-06,0.9999542,0.999956328159903,4.58e-05,4.36718400967055e-05,199734,1847,3902.85714285714,3902.85714285714
12/15/2020,3902.85714285714,3902.85714285714,198853.87413101,2963.01302494899,0,0,45236570950.3727,674045449.2814,0.0271651338074514,0.0271651338074514,0.000307037769357282,0.000307037769357282,3903.03590190145,3903.03590190145,198889.18656936,2963.53919631593,85215221.4597629,85215221.4597629,1092938958.20733,16285286.7855568,0.0271663780275651,0.0271651338074514,0.000307051832331203,0.000307037769357282,1,0.999995604153988,0,4.39584601180655e-06,0.9999542,0.999818056627493,4.58e-05,0.000181943372506516,198853,2963,3902.85714285714,3902.85714285714
12/16/2020,3902.85714285714,3902.85714285714,245462.232312688,3465.01739569001,0,0,48892951901.1665,690187354.966947,0.0251336328667819,0.0251336328667819,0.000262554788581586,0.000262554788581586,3903.03590190145,3903.03590190145,245618.422891041,3467.22222804216,85215221.4597629,85215221.4597629,382979522.88024,5406252.10025231,0.0251347840398909,0.0251336328667819,0.000262566814141674,0.000262554788581586,1,0.999994979624047,0,5.02037595308587e-06,0.9999542,0.999359075393499,4.58e-05,0.000640924606501107,245461,3465,3902.85714285714,3902.85714285714
12/17/2020,3902.85714285714,3902.85714285714,249486.631132003,3432.02243840325,0,0,38159494171.7974,524934901.888325,0.0322031916179161,0.0322031916179161,0.000265078951575904,0.000265078951575904,3903.03980512002,3903.03980512002,249841.3199483,3436.90165766506,83394383.3943834,83394383.3943834,174931720.788066,2406419.88794774,0.0322046987978198,0.0322031916179161,0.000265091357851451,0.000265078951575904,1,0.99999346204646,0,6.53795353986603e-06,0.9999532,0.998573814978347,4.68e-05,0.00142618502165343,249485,3432,3902.85714285714,3902.85714285714
12/18/2020,3902.85714285714,3902.85714285714,239381.99334963,2745.02285798619,0,0,28747220610.7899,329647926.211957,0.0427470022056988,0.0427470022056988,0.000331420522459448,0.000331420522459448,3904.06974692054,3904.06974692054,240013.580745264,2752.26534859115,12565541.348542,12565541.348542,90682129.1339848,1039863.16514658,0.0427602835497693,0.0427470022056988,0.000331523493656577,0.000331420522459448,1,0.999991672934116,0,8.32706588372415e-06,0.9996894,0.997360229603274,0.0003106,0.00263977039672625,239380,2745,3902.85714285714,3902.85714285714
12/19/2020,3902.85714285714,3902.85714285714,200761.102408502,2622.02745837095,0,0,19170678825.779,250377417.108038,0.0641008862557691,0.0641008862557691,0.000346966965144651,0.000346966965144651,3904.32204448823,3904.32204448823,201397.293176939,2630.33638696115,10402071.2762717,10402071.2762717,63344432.686587,827305.8866812,0.0641249459354841,0.0641008862557691,0.000347097196012595,0.000346966965144651,1,0.999989527809535,0,1.047219046464e-05,0.9996248,0.996830676485915,0.0003752,0.0031693235140854,200759,2622,3902.85714285714,3902.85714285714
12/20/2020,823.714285714286,4726.57142857143,194602.352025082,1727.02087331612,0,0,16100856236.2956,142888893.731153,0.0161081808264104,0.0924306747871337,0.000111178732680463,0.00063795691111096,824.058247626845,4728.5451233059,195278.301491198,1733.01966431294,1973441.02950236,11323841.4675885,56023992.226653,497191.339030985,0.0161149071886709,0.0924306747871337,0.000111225158061438,0.00063795691111096,1,0.999987913686257,0,1.20863137428257e-05,0.9995826,0.996526488165772,0.0004174,0.00347351183422842,194600,1727,823.714285714286,4726.57142857143
12/21/2020,823.714285714286,4726.57142857143,186073.709288487,1902.02769408829,0,0,12779340896.1772,130629202.748031,0.0202949045511314,0.116454597984519,0.000100949104266344,0.000579258075573404,826.373390008656,4741.82968814193,186928.891267346,1910.76928264207,255986.787778695,1468882.91024036,40543652.8507987,414433.349217337,0.0203604203116101,0.116454597984519,0.000101274986919252,0.000579258075573404,1,0.999985439702915,0,1.45602970850916e-05,0.9967822,0.995410600996295,0.0032178,0.00458939900370458,186071,1902,823.714285714286,4726.57142857143
12/22/2020,823.715768402669,4726.57993641531,200679.175855418,3240.06742131085,457619047.619048,2625873015.87302,9643842897.58953,155704751.404959,0.0268934255057036,0.154317703135919,5.92605994431184e-05,0.000340044431698754,829.128494785233,4757.63881000073,201866.796868969,3259.2421669638,126143.075913367,723824.108510173,33990372.4505656,548791.861167722,0.0270701451453367,0.154317703135919,5.96500073218511e-05,0.000340044431698754,0.9999982,0.999979191386449,1.8e-06,2.08086135507411e-05,0.99347,0.994096122356651,0.00653,0.005903877643349,200675,3240,823.714285714286,4726.57142857143
