nursing_nationwide_weekly1,nursing_nationwide_weekly2,nursing_nationwide_weekly3
4798.85714285714,830.857142857143,4128.71428571429
4815.57142857143,870.571428571429,4009.14285714286
4124.71428571429,806.428571428571,3585.71428571429
3896.85714285714,784.571428571429,3550.14285714286
3750.42857142857,748.285714285714,3392
3039.14285714286,673.571428571429,2728.57142857143
2430,574.571428571429,2075.42857142857
1625,447.142857142857,1390.14285714286
924.857142857143,316.571428571429,884.428571428571
576.571428571429,212,649.428571428571
326.571428571429,129.428571428571,424.714285714286
244.571428571429,104.142857142857,371.857142857143
196.142857142857,73.7142857142857,305.428571428571
162.857142857143,59,268.714285714286
139.285714285714,48.7142857142857,278.857142857143
130.428571428571,44.7142857142857,314.714285714286
109.142857142857,31.2857142857143,305.857142857143
