Date,75+ Years Fully Vaccinated,65-74 Years Fully Vaccinated,75+ Years At Least 1 Dose,65-74 Years At least 1 Dose,,,
2021-03-30,54.1%,47.4%,73.8%,72.9%,,,
2021-03-31,54.8%,48.4%,74.1%,73.4%,,,
2021-04-01,55.6%,49.7%,74.5%,73.9%,,,
2021-04-02,56.7%,51.3%,75.0%,74.6%,,,
2021-04-03,57.6%,52.7%,75.4%,75.2%,,,
2021-04-04,57.6%,52.7%,75.4%,75.2%,,,
2021-04-05,57.6%,52.8%,75.4%,75.2%,,,
2021-04-06,58.9%,54.8%,76.0%,76.1%,,,
2021-04-07,59.5%,55.7%,76.4%,76.6%,,,
2021-04-08,60.2%,56.7%,76.7%,77.0%,,,
