Date,LTC_double_normalized_vf_us_cases1,LTC_double_normalized_vf_us_cases2,LTC_double_normalized_vf_us_deaths1,LTC_double_normalized_vf_us_deaths2
12/13/2020,6712.11951088239,6712.11951088239,10644.2937600151,10644.2937600151
12/14/2020,6152.72558761182,6152.72558761182,9065.12873677189,9065.12873677189
12/15/2020,6179.98413397245,6179.98413397245,5650.00929968202,5650.00929968202
12/16/2020,5006.52901071603,5006.52901071603,4829.23300494993,4829.23300494993
12/17/2020,4925.77502250883,4925.77502250883,4871.8416852638,4871.8416852638
12/18/2020,5135.0533404147,5135.0533404147,6085.33592985954,6085.33592985954
12/19/2020,6123.29145686913,6123.29145686913,6367.83251521887,6367.83251521887
12/20/2020,1333.30250742599,7650.64980241003,2039.91331149765,11705.2673992736
12/21/2020,1398.33162323923,8023.79467334258,1855.34793517048,10646.2091195023
12/22/2020,1300.88349169152,7464.62559939399,1091.34610452779,6262.27492445481
12/23/2020,1123.43323777591,6446.39474593371,1028.86588784867,5903.75594265717
12/24/2020,1326.3718101562,7610.88062969613,1254.91643183337,7200.86109324296
12/25/2020,1919.95354486427,11016.9238614948,2179.48217625102,12506.1302954286
12/26/2020,1443.3993961796,8282.39896323241,2292.64808438324,13155.4898577704
12/27/2020,1676.8287120269,11901.59000324,2016.15923634233,14310.0487486207
12/28/2020,1410.71569830636,10012.8055608504,1721.693499627,12220.0258123176
12/29/2020,1236.00518010043,8772.76658607223,987.847930666729,7011.42637409456
12/30/2020,1094.26086464847,7766.71109829374,928.624321332471,6591.07627407964
12/31/2020,1116.43586314388,7924.10209388078,1070.22803139044,7596.13379006795
01/01/2021,1483.38461753035,10528.5861390212,1398.33975763924,9924.9651209367
01/02/2021,931.92461270509,6614.50067904504,1408.81439080545,9999.31069272012
01/03/2021,1173.03833121368,10217.293028251,1921.46534522734,16736.1747296909
01/04/2021,1393.04684646964,12133.5914212922,1577.92688334597,13743.9168996463
01/05/2021,1084.32174227845,9444.56177003177,928.158120200433,8084.35942653858
01/06/2021,1029.20050945834,8964.44976276356,895.461373038815,7799.56715851846
01/07/2021,943.166669053128,8215.08553963853,850.182439527617,7405.18266196758
01/08/2021,865.849900863233,7541.64797534668,993.596328785577,8654.33342872354
01/09/2021,1122.73302468599,9779.12826927196,1045.99934157641,9110.76944023325
01/10/2021,1094.59705520723,12172.2044245724,1402.93950137392,15601.0527570788
01/11/2021,1226.12229350059,13634.7993400999,1425.04261009042,15846.8450844342
01/12/2021,1157.21512624579,12868.5336881382,803.016675600311,8929.75463915991
01/13/2021,1186.29406119623,13191.8990205971,852.513313409824,9480.1701467481
01/14/2021,1221.71886744508,13585.8320951569,935.467080557479,10402.6376490186
01/15/2021,1157.41066194382,12870.7080960424,1035.87453545319,11519.1947061817
01/16/2021,1357.85275537652,15099.6763953314,1083.25581247222,12046.0868506739
01/17/2021,1568.43777175824,19215.1160764592,1860.69002771194,22795.5329236396
01/18/2021,2009.96321113795,24624.2962946072,2011.4561387906,24642.5863273111
01/19/2021,2125.79309686463,26043.3418821577,1765.28677915023,21626.736476504
01/20/2021,1759.15270458769,21551.587205769,1005.79684665828,12322.1357620138
01/21/2021,1835.06229088993,22481.5644980643,1141.53848224104,13985.1225448476
01/22/2021,1900.61462198231,23284.6538355588,1232.50361359916,15099.5470948234
01/23/2021,2180.64317815914,26715.3166954752,1463.94225249618,17934.9291489029
01/24/2021,2621.08468584892,35810.2268220362,2269.60097565274,31008.126586843
01/25/2021,2871.60253149651,39232.8941337955,2259.79859877832,30874.2028944255
01/26/2021,2737.23800274843,37397.1563275039,1410.93900280118,19276.7696500441
01/27/2021,2775.99892519175,37926.7223625201,1426.72760939537,19492.4794233277
01/28/2021,2911.32178648316,39775.553261886,1630.7177050502,22279.4674341643
01/29/2021,3274.29492971668,44734.6263737453,1791.56744540711,24477.0559812055
01/30/2021,3254.70005192895,44466.9139179376,2284.52534702746,31212.0288594366
01/31/2021,4462.03157883919,67127.9679535192,3099.71678272901,46632.9485077626
02/01/2021,4193.32192264884,63085.4297350336,3602.28331200446,54193.6905768473
02/02/2021,4727.217338453,71117.4917519404,2124.18097715335,31956.7331701675
02/03/2021,5015.87738177986,75460.1688028607,2116.23930629524,31837.2566004837
02/04/2021,5062.21021727607,76157.2120759598,2337.59716606775,35167.42203175
02/05/2021,5439.01269122036,81825.9268640159,2571.76811471197,38690.3509170546
02/06/2021,6707.39676221916,100907.827959147,3386.6915735692,50950.2721803126
02/07/2021,9330.98224444858,133171.82799572,6953.52368579817,99240.7268591909
02/08/2021,10967.3011583773,156525.380198813,7031.28672853964,100350.561416914
02/09/2021,10579.893972237,150996.302787089,4449.96628059581,63509.9423170408
02/10/2021,10656.3458921767,152087.424993243,3739.22990249863,53366.3089658391
02/11/2021,10770.1922913527,153712.241405043,4149.89897535542,59227.3801479415
02/12/2021,12371.4715622055,176565.707636639,5439.92908608494,77638.6967183466
02/13/2021,14336.8816454082,204616.050749985,7855.12372504486,112108.367392847
02/14/2021,21695.4383206715,306456.319261196,13904.2041179545,196402.17234905
02/15/2021,27196.5781877272,384162.012526338,15047.7370719941,212555.010326743
02/16/2021,27609.2483576851,389991.13565743,13341.5259906149,188454.129756659
02/17/2021,24483.5598854923,345839.596970483,7960.26106678914,112441.715665272
02/18/2021,26437.533907519,373440.223326659,9188.96046766121,129797.562101936
02/19/2021,26294.9973403297,371426.840093957,9466.76015883621,133721.588415259
02/20/2021,28485.2128750533,402364.46768365,12257.0952109224,173136.132474186
